,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,ldp3,ldp2
Bovini,Syncerus,cafer,NMB,19,,maxilla,3626,3627,,,left,,
Bovini,Syncerus,cafer,NMB,A 2559,,maxilla,3629,3631,3633,3634,left,,
Bovini,Syncerus,cafer,NMB,unnumbered,,maxilla,3636L,3637L,3638L,3639,right,,
Bovini,Syncerus,cafer,NMB,14,,maxilla,3640,3641,3642,3643,left,did not use UM3,
Bovini,Syncerus,cafer,NMB,2,,maxilla,3982,3983,3984,3985,left,3983 too broken,
Bovini,Syncerus,cafer,NMB,unnumbered-old,only 2 teeth,maxilla,,,3986L,3987,right,,
Bovini,Syncerus,cafer,NMB,18,,maxilla,3988,3989,3990/3991,3992 ldp4,left,3993,3994
Bovini,Syncerus,cafer,NMB,unnumbered,P4 coming in sideways,maxilla,3995,3996,3997/3998,3999,left,,
Bovini,Syncerus,cafer,NMB,1,,maxilla,4000,4001,4002,4003 ldp4,left,,
Bovini,Syncerus,cafer,NMB,unnumbered-broken RP4,,maxilla,4004,4005,4006,4007,left,,
Bovini,Syncerus,cafer,NMB,16,,maxilla,4008,4009,4010,4011,left,,
Bovini,Syncerus,cafer,NMB,unnumbered-broken LP3,,maxilla,4012,4013,4014,4015,left,,
Bovini,Syncerus,cafer,NMB,9,,maxilla,4016,4017,,,left,,
Bovini,Syncerus,cafer,NMB,12,,maxilla,4018,4019,4020,4021,left,,
Bovini,Syncerus,cafer,NMB,21,,maxilla,4022,4023,4024,4025,left,,
Bovini,Syncerus,cafer,NMB,13,,maxilla,4026/4027,4028,4029,4030,left,did not use UM3,
Bovini,Syncerus,cafer,NMB,8743,W.P. 1,maxilla,4031,4032,4033,4034,left,,
Bovini,Syncerus,cafer,NMB,8774,W.P. 1,maxilla,4035,4036/4037,4038,4039,left,,
Bovini,Syncerus,cafer,TM,3312,,maxilla,5710,5711,5712,,left,,
Bovini,Syncerus,cafer,TM,AZ 2927,,maxilla,5713,5714,,5715,left,,
Bovini,Syncerus,cafer,TM,16433,,maxilla,5716,5717,5718,5719,left,,
Bovini,Syncerus,cafer,TM,3311,,maxilla,5720,5721L,5722,5723,left,5721 was right,
Bovini,Syncerus,cafer,TM,930,,maxilla,5724,5725,5726,5727,left,,
Bovini,Syncerus,cafer,TM,AZ 392,,maxilla,5728,5729,5730,5731,left,,
Bovini,Syncerus,cafer,TM,AZ 2216,,maxilla,5732,5733,5734,5735,left,,
Bovini,Syncerus,cafer,TM,3313,,maxilla,5736,5737L,5738,,left,5737 was right,
Bovini,Syncerus,cafer,TM,13185,,maxilla,5739,5741,5742,5743,left,,
Bovini,Syncerus,cafer,TM,3310,,maxilla,,,5744,,left,"weird,  baby",
Bovini,Syncerus,cafer,,,,maxilla,,,,,,,
,Syncerus,cafer,,,,maxilla,,,,,,,
,,,,,,,,,,,,,
Bovini,Syncerus,cafer,NMB,8774,,mandible,4040,4041,4042,4043,left,,
Bovini,Syncerus,cafer,NMB,8743,,mandible,4045,4046,4047,4048,left,,
Bovini,Syncerus,cafer,NMB,1000,,mandible,4493,4494,4495,4496,left,,
Bovini,Syncerus,cafer,NMB,1001,,mandible,4497,4498,4499,4500,left,,
Bovini,Syncerus,cafer,NMB,1002,,mandible,4502,4503,4504,4505,left,,
Bovini,Syncerus,cafer,NMB,1003,,mandible,4507,4508,4509,4510,left,,
Bovini,Syncerus,cafer,NMB,1004,,mandible,4511,4512,4513,4515,left,,
Bovini,Syncerus,cafer,NMB,1005,,mandible,4516,4517,4518,4519,left,,
Bovini,Syncerus,cafer,NMB,1006,,mandible,4520,4521,4522,4523,left,,
Bovini,Syncerus,cafer,NMB,1007,,mandible,4524,4525,4526,4527,left,,
Bovini,Syncerus,cafer,NMB,1008,,mandible,4528,4529,4530,,left,,
Bovini,Syncerus,cafer,NMB,1009,,mandible,4531,4532,4533,4534,left,,
Bovini,Syncerus,cafer,NMB,1010,,mandible,4535,4536,4537,4538,left,,
Bovini,Syncerus,cafer,NMB,1011,,mandible,4539,4540,4541,4542,left,,
Bovini,Syncerus,cafer,NMB,1012,,mandible,4543,4544,4547,4548,left,,
Bovini,Syncerus,cafer,NMB,1013,,mandible,,4549,4550,4551,left,,
Bovini,Syncerus,cafer,NMB,A 1388,,mandible,,4552,4553,,left,,
Bovini,Syncerus,cafer,NMB,A 2559,,mandible,4554,4555,4556,4557,left,,
Bovini,Syncerus,cafer,TM,13185,,mandible,5745,5746,5747,5748,left,,
Bovini,Syncerus,cafer,TM,13148?,maybe no. in crayon on side but ?,mandible,5749L,5753L,5752L,5754,right,,
Bovini,Syncerus,cafer,TM,16433,,mandible,5755L,5756L,5757L,5758,right,,
Bovini,Syncerus,cafer,TM,BB 302,,mandible,5759,5760,5761,5762,left,,
Bovini,Syncerus,cafer,TM,3313,,mandible,5763,5764,5765,5766,left,,
Bovini,Syncerus,cafer,TM,16433,,mandible,6059,6060,6061,6062,left,,
Bovini,Syncerus,cafer,TM,3311,,mandible,6063,6064,6065,6066,left,6063 does not look like a S cafer- argh,
Bovini,Syncerus,cafer,TM,3312,,mandible,6067,6068,,,left,6067 is still erupting so maybe should not use,
,Syncerus,cafer,,,,mandible,,,,,,,
,Syncerus,cafer,,,,mandible,,,,,,,
,Syncerus,cafer,,,,mandible,,,,,,,
,Syncerus,cafer,,,,mandible,,,,,,,
