,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,
Reduncini,Redunca,fulvorufulva,NMB,12058,,maxilla,3373,3374,3375,,left,
Reduncini,Redunca,fulvorufulva,NMB,9776,,maxilla,3376,3377,3378,3379,left,
Reduncini,Redunca,fulvorufulva,NMB,9483,,maxilla,,3380L,3381L,3382,right,
Reduncini,Redunca,fulvorufulva,NMB,9482,,maxilla,3383,3384,3385,3386,left,
Reduncini,Redunca,fulvorufulva,NMB,6040,,maxilla,3510,3511,3512,,left,did not use 3rd molar
Reduncini,Redunca,fulvorufulva,NMB,8827,Graaf-Reinet,maxilla,3513,3514,3515,3516,left,
Reduncini,Redunca,fulvorufulva,NMB,9843,,maxilla,4347L,4348L,4349L,,right,
Reduncini,Redunca,fulvorufulva,TM,19028,,maxilla,,6069,6070,6071 right,left,
Reduncini,Redunca,fulvorufulva,TM,19057,,maxilla,6072L,6073L,6074L,6075 left,right,
Reduncini,Redunca,fulvorufulva,TM,3499,,maxilla,6076,6077,6078,6079,left,6076 too broken to use
Reduncini,Redunca,fulvorufulva,TM,13265,,maxilla,6080,6081,6082,6083,left,
Reduncini,Redunca,fulvorufulva,TM,19048,,maxilla,6084,6085,6086,6087,left,
Reduncini,Redunca,fulvorufulva,TM,13247,,maxilla,6088,6089,6090,6091,left,
Reduncini,Redunca,fulvorufulva,TM,13245,,maxilla,6092,6093,6094,6095,left,
Reduncini,Redunca,fulvorufulva,TM,13244,,maxilla,6096,6097,6098,6099 right,left,
Reduncini,Redunca,fulvorufulva,TM,19061,,maxilla,6100L,6101L,6102L,,right,
Reduncini,Redunca,fulvorufulva,TM,19033,,maxilla,,,6103L,6104,right,
Reduncini,Redunca,fulvorufulva,TM,19024,,maxilla,6105,6106,6107,6108,left,
Reduncini,Redunca,fulvorufulva,TM,19041,,maxilla,6109,6110,6111,6112,left,
Reduncini,Redunca,fulvorufulva,TM,3260,,maxilla,6113,6114,6115,6116/6117,left,
Reduncini,Redunca,fulvorufulva,TM,19037,,maxilla,6118,6119L,6120,6121,left,6119 was right
Reduncini,Redunca,fulvorufulva,TM,19068,,maxilla,6123,6125,6126,6127,left,
Reduncini,Redunca,fulvorufulva,TM,19063,,maxilla,6128,6129,6130,6131,left,
Reduncini,Redunca,fulvorufulva,TM,19045,,maxilla,6132,6133,6135,6136,left,
Reduncini,Redunca,fulvorufulva,TM,19052,,maxilla,6137,6138,6139,6140,left,
Reduncini,Redunca,fulvorufulva,TM,19022,,maxilla,6141,6142,6143,6144,left,
Reduncini,Redunca,fulvorufulva,TM,AZ 1604,,maxilla,6145,6146,6147,6148,left,
Reduncini,Redunca,fulvorufulva,TM,19035,,maxilla,6149,6150,6151,6152,left,
Reduncini,Redunca,fulvorufulva,TM,3113,,maxilla,6153,6154,6155,6156,left,
Reduncini,Redunca,fulvorufulva,TM,13246,,maxilla,6157,6158,6159,6160,left,
Reduncini,Redunca,fulvorufulva,TM,10010,,maxilla,6161,6162,6163,6164,left,
,,,,,,,,,,,,
Reduncini,Redunca,fulvorufulva,TM,19019,,maxilla,6165,6166,6167,6168,left,6167 broken
Reduncini,Redunca,fulvorufulva,TM,10011,,maxilla,6169,6170,6171,6172,left,
Reduncini,Redunca,fulvorufulva,TM,19046,,maxilla,6173,6174,6175,6176,left,6175 broken
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Reduncini,Redunca,fulvorufulva,NMB,9482,,mandible,3389,3390,3391,3392,left,
Reduncini,Redunca,fulvorufulva,NMB,9483,,mandible,3393,3394,3395,3396,left,
Reduncini,Redunca,fulvorufulva,NMB,12058,,mandible,3398,3399,3400,3401,left,
Reduncini,Redunca,fulvorufulva,NMB,8827,Graaf-Reinet,mandible,3517,3518,3519,3520,left,
Reduncini,Redunca,fulvorufulva,NMB,9843,,mandible,4350,4351,4352,,left,
Reduncini,Redunca,fulvorufulva,NMB,9350,,mandible,4353L,4354L,4355,4356,right,"4355 too broken, don't use"
Reduncini,Redunca,fulvorufulva,TM,10010,,mandible,6177,6178,6179,6180,left,
Reduncini,Redunca,fulvorufulva,TM,19019,,mandible,6182L,6183L,6184L,6185,right,
Reduncini,Redunca,fulvorufulva,TM,19022,,mandible,6186L,6187/6188L,,,right,
Reduncini,Redunca,fulvorufulva,TM,19052,,mandible,6189L,6190L,6191L,6193,right,
Reduncini,Redunca,fulvorufulva,TM,19046,,mandible,6194L,6195L,6196L,6197,right,
Reduncini,Redunca,fulvorufulva,TM,10011,,mandible,6198,6199,6200,6201,left,
Reduncini,Redunca,fulvorufulva,TM,13246,,mandible,6202,6203,6204,6205,left,
Reduncini,Redunca,fulvorufulva,TM,3260,,mandible,6206,6207/6208,6209,6210,left,
Reduncini,Redunca,fulvorufulva,TM,19037,,mandible,6211L,6212L,6213L,6214,right,
Reduncini,Redunca,fulvorufulva,TM,19057,,mandible,6215L,6216L,6217L,6218,right,
Reduncini,Redunca,fulvorufulva,TM,13248,,mandible,6219L,6221L,6222L,6223,right,
Reduncini,Redunca,fulvorufulva,TM,13245,,mandible,6224,6225,6226,6227,left,
Reduncini,Redunca,fulvorufulva,TM,13244,,mandible,6228,6229,6230,6231,left,
Reduncini,Redunca,fulvorufulva,TM,3932,,mandible,6232,6233,6234,6235,left,
Reduncini,Redunca,fulvorufulva,TM,19015,,mandible,6236L,6237L,6238L,6239,right,
Reduncini,Redunca,fulvorufulva,TM,19027,,mandible,6240L,6241L,6242L,6243,right,
Reduncini,Redunca,fulvorufulva,TM,19024,,mandible,6244,6245,6246,6247,left,
Reduncini,Redunca,fulvorufulva,TM,AZ 2604,,mandible,6252,6253,6254,6255,left,
