,Genus,species,Institution,No.,Origin,Element,3rd Molar,2nd Molar,1st Molar,4 Premolar,Side,
Reduncini,Redunca,fulvorufulva,TM,19041,,mandible,6256L,6257L,6258L,6259,right,
Reduncini,Redunca,fulvorufulva,TM,19065,,mandible,6260L,6261L,6262L,6263,right,6262 not a great tooth- well worn
Reduncini,Redunca,fulvorufulva,TM,19068,,mandible,6264L,6265L,6266L,6267,right,
Reduncini,Redunca,fulvorufulva,TM,19073,,mandible,6268L,6269L,6270L,6271/6272,right,
Reduncini,Redunca,fulvorufulva,TM,19028,,mandible,6273L,6274L,6275L,6276,right,
,,,,,,,,,,,,
Reduncini,Redunca,fulvorufulva,TM,19048,,mandible,6277L,6278L,6279L,6280,right,6279 not a great tooth- maybe not use
Reduncini,Redunca,fulvorufulva,TM,19050,,mandible,6281,6282,6283L,6284,right,
,,,,,,,,,,,,
,,,,,,,,,,,,
